Dis No,Locat,CountryCode,Lon,Lat
2000-0372-CHN,Quanzhou,CHN,118.58583,24.91389
2000-0372-CHN,Zhangzhou,CHN,117.65556,24.51333
2000-0372-CHN,Xiamen,CHN,118.08187,24.47979
2000-0372-CHN,Fujian Sheng,CHN,118,26.25
2000-0372-CHN,Jiangxi Sheng,CHN,115.66667,27.66667
2000-9186-AFG,Kandahar,AFG,65.75,31
2000-9186-AFG,Hilmand,AFG,64,31
2000-9186-AFG,Nimroz,AFG,62.5,31
2000-9186-AFG,Uruzgan,AFG,66,32.83333
2000-9186-AFG,Khost,CIV,-5.5,8
2000-9186-AFG,Baghlan,AFG,69,35.75
2000-9186-AFG,Badakhshan,AFG,72,36.75
2000-0373-BGD,Kotwali,BGD,89.25166,25.74664
2000-0373-BGD,Chittagong,BGD,91.5,22.91667
2000-0373-BGD,Bazar,KAZ,82.31473,47.92632
2000-0484-BTN,Pasakha,IND,89.45201,26.83472
2000-0484-BTN,Phuentshogling,BTN,89.38837,26.85164
2000-0677-CHN,Xuwen,CHN,110.16712,20.32917
2000-0677-CHN,Guandong,CHN,114.25243,23.09543
2000-0677-CHN,Hainan Sheng,CHN,109.75,19.25
2000-0920-CHN,Guangdong Sheng,CHN,113.25,23.5
2000-9495-ARM,Ararat,ARM,44.83333,39.91667
2000-9495-ARM,Kotayk,ARM,44.75,40.41667
2000-0283-BGD,Dhaka,BGD,90.25,23.83333
2000-0283-BGD,Mymensingh,BGD,90.38109,24.72937
2000-0283-BGD,Chittagong,BGD,91.5,22.91667
2000-0283-BGD,Bazar,KAZ,82.31473,47.92632
2000-0283-BGD,Comilla,BGD,91.00987,23.4417
2000-0283-BGD,Chandpur,BGD,90.83333,23.25
2000-0283-BGD,Chittagong,BGD,91.5,22.91667
2000-0557-CHN,Hunan Sheng,CHN,111.75,27.66667
2000-0557-CHN,Guangdong Sheng,CHN,113.25,23.5
2000-0564-AFG,Kandahar,AFG,65.75,31
2000-0564-AFG,Jawzjan,AFG,65.83333,36.83333
2000-0054-AFG,Jaghuri,AFG,67.53364,33.34753
2000-0054-AFG,Zindajan,AFG,61.74675,34.34264
2000-0054-AFG,Badakshan,AFG,72,36.75
2000-0305-AFG,Herat,AFG,62,34.5
2000-0769-AZE,Baku,AZE,49.72414,40.39802
2000-0834-AZE,Dashkesan,AZE,46.08186,40.52393
2000-0631-BGD,Sirajganj,BGD,89.61667,24.33333
2000-0631-BGD,Barisal,BGD,90.33333,22.5
2000-0023-BGD,Bazar,KAZ,82.31473,47.92632
2000-0555-BGD,Noakhali,BGD,91.16667,22.75
2000-0555-BGD,Bazar,KAZ,82.31473,47.92632
2000-0555-BGD,Chittagong,BGD,91.5,22.91667
2000-0617-BGD,Meherpur,BGD,88.7,23.75
2000-0617-BGD,Kushtia,BGD,88.91667,23.83333
2000-0617-BGD,Chuadanga,BGD,88.85,23.63333
2000-0617-BGD,Maheshpur,NPL,86.39905,26.67956
2000-0617-BGD,Kotchandpur,BGD,89.01667,23.4
2000-0617-BGD,Jhenaidah,BGD,89.16667,23.5
2000-0617-BGD,Rajshahi,BGD,89,25
2000-0211-BGD,Kendua,IND,85.63757,22.13324
2000-0211-BGD,Purbadhala,BGD,90.59884,24.93867
2000-0211-BGD,Rangpur,BGD,89,25.83333
2000-0229-BGD,Netrakona,BGD,90.86667,24.86667
2000-0713-BGD,Pirojpur,BGD,90.00033,22.53671
2000-0713-BGD,Khulna,BGD,89.33333,22.91667
2000-0713-BGD,Noakhali,BGD,91.16667,22.75
2000-0713-BGD,Bazar,KAZ,82.31473,47.92632
2000-0713-BGD,Chandpur,BGD,90.83333,23.25
2000-0713-BGD,Dhaka,BGD,90.25,23.83333
2000-0713-BGD,Mymensingh,BGD,90.38109,24.72937
2000-0713-BGD,Shariatpur,BGD,90.36667,23.25
2000-0713-BGD,Dhaka,BGD,90.25,23.83333
2000-0003-BGD,Barisal,BGD,90.33333,22.5
2000-0003-BGD,Chittagong,BGD,91.5,22.91667
2000-0003-BGD,Dhaka,BGD,90.25,23.83333
2000-0003-BGD,Khulna,BGD,89.33333,22.91667
2000-0003-BGD,Rajshahi,BGD,89,25
2000-0003-BGD,Rangpur,BGD,89,25.83333
2000-0467-BGD,Dhaka,BGD,90.25,23.83333
2000-0467-BGD,Chittagong,BGD,91.5,22.91667
2000-0467-BGD,Rajshahi,BGD,89,25
2000-0294-BGD,Chittagong,BGD,91.5,22.91667
2000-0425-CHN,Yangzhou,CHN,119.43583,32.39722
2000-0425-CHN,Jiangsu,CHN,119.83333,33
2000-0425-CHN,Taizhou,CHN,119.90812,32.49069
2000-0425-CHN,Jiangsu,CHN,119.83333,33
2000-0033-CHN,Yao'an Xian,CHN,101.20889,25.47819
2000-0033-CHN,Yunnan Sheng,CHN,101.5,25
2000-0033-CHN,Yunnan Sheng,CHN,101.5,25
2000-0036-CHN,Yunnan Sheng,CHN,101.5,25
2000-0036-CHN,Yunnan Sheng,CHN,101.5,25
2000-0041-CHN,Xiuyan Manzu Zizhixian,CHN,123.27,40.29
2000-0041-CHN,Anshan,CHN,122.99,41.12361
2000-0041-CHN,Liaoning Sheng,CHN,122.66667,41.25
2000-0298-CHN,Lanzhou,CHN,103.83987,36.05701
2000-0298-CHN,Gansu Sheng,CHN,102.75,37.75
2000-0527-CHN,Chuxiong Yi,CHN,101.70479,25.43204
2000-0527-CHN,Yunnan Sheng,CHN,101.5,25
2000-0302-CHN,Hadapu,CHN,104.22301,34.23132
2000-0302-CHN,Gansu Sheng,CHN,102.75,37.75
2000-0302-CHN,Sichuan,CHN,102.66667,30.5
2000-0302-CHN,Guizhou Sheng,CHN,107,27
2000-0330-CHN,Sichuan Sheng,CHN,102.66667,30.5
2000-0330-CHN,Yunnan Sheng,CHN,101.5,25
2000-0200-CHN,Shenzhen,CHN,114.0683,22.54554
2000-0200-CHN,Zhuhai,CHN,113.56778,22.27694
