Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2021-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Sun, 08 Aug 2021 06:57:19 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,3494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2000-0372-CHN,2000,0372,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Quanzhou, Zhangzhou, Xiamen districts (Fujian Sheng province), Jiangxi Sheng province",Monsoonal rain,Rain,"Slide (land, mud, snow, rock)",,,,,76000,Km2,,,,,2000,6,17,2000,6,30,43,10,,31000,31010,,,19000,67.35575898,1;2,914,13006;13009;13010,"Jiangxi Sheng (Adm1). Quanzhou, Xiamen, Zhangzhou (Adm2)."
2000-9186-AFG,2000,9186,,Natural,Climatological,Drought,Drought,,,Afghanistan,AFG,Southern Asia,Asia,"Kandahar, Hilmand, Nimroz, Zabul, Uruzgan provinces (south-west), Hirat, Farah, Badghis provinces (west), Paktika, Khost, Ghazni provinces (south), Baghlan, Kunduz, Takhar, Badakhshan provinces (north-east)",,Water shortage,Famine,,Yes,,715539,,Km2,,,,,2000,5,,2002,,,37,,2580000,,2580000,,,50,67.35575898,1,272;273;274;277;279;281;282;285;287;289;293;295;300;303;99881,,"Badakhshan, Badghis, Baghlan, Farah, Ghazni, Hilmand, Hirat, Kandahar, Khost, Kunduz, Nimroz, Paktika, Takhar, Uruzgan, Zabul (Adm1)."
2000-0373-BGD,2000,0373,,Natural,Hydrological,Flood,Flash flood,,,Bangladesh,BGD,Southern Asia,Asia,"Bakalia, Kotwali, Chandgaon, Pahartali, Hathazari, Halishahar, Patiya, Satkania areas (Chittagong district, Chittagong province), Cox's Bazar district (Chittagong province)",Monsoonal rain,"Slide (land, mud, snow, rock)",,,,,,17000,Km2,,,,"Bramputra, Darata",2000,6,24,2000,6,24,11,50,200000,,200050,,,,67.35575898,2,,5770;5772,"Chittagong, Cox's Bazar (Adm2)."
2000-0484-BTN,2000,0484,,Natural,Hydrological,Flood,Riverine flood,,,Bhutan,BTN,Southern Asia,Asia,"Pasakha area (Sampheling district, Chhukha province), Phuentshogling city (Phuentshogling district, Chhukha province)",Monsoonal rain,"Slide (land, mud, snow, rock)",,,,,50,,Km2,,,,"Brahmaputra, Varsha",2000,8,2,2000,8,30,200,,,1000,1000,,,,67.35575898,2,,5943;5953,"Phuentshogling, Sampheling (Adm2)."
2000-0677-CHN,2000,0677,,Natural,Hydrological,Flood,Flash flood,,,China,CHN,Eastern Asia,Asia,"Xuwen area (Zhanjiang district, Guandong province), Hainan Sheng province",Tropical cyclone,"Slide (land, mud, snow, rock)",,,,,,11170,Km2,,,,,2000,10,12,2000,10,18,10,,200000,,200000,,,25366,67.35575898,1;2,906,13035,Hainan Sheng (Adm1). Zhanjiang (Adm2).
2000-0920-CHN,2000,0920,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,Guangdong Sheng province,Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2000,5,1,2000,5,5,26,,,4500,4500,,,5000,67.35575898,1,903,,Guangdong Sheng (Adm1).
2000-9495-ARM,2000,9495,,Natural,Climatological,Drought,Drought,,,Armenia,ARM,Western Asia,Asia,"Ararat, Armavir, Gergharkunik, Aragatsotn, Shirak, Kotayk, Tavush, Lori provinces",,Heat wave,,,Yes,,16545,1720,Km2,,,,,2000,6,,2000,,,,,297000,,297000,,,100000,67.35575898,1,453;454;455;456;457;458;460;462,,"Aragatsotn, Ararat, Armavir, Gergharkunik, Kotayk, Lori, Shirak, Tavush (Adm1)."
2000-0283-BGD,2000,0283,,Natural,Meteorological,Storm,,,,Bangladesh,BGD,Southern Asia,Asia,"Dhaka, Mymensingh, Tangail, Kishoreganj districts (Dhaka province), Chittagong, Cox's Bazar, Comilla, Chandpur districts (Chittagong province)",,Flood,,,,,161,70,Kph,,,,"Sangu, Matamuhuri",2000,5,27,2000,6,19,36,,70000,1000,71000,,,,67.35575898,2,,5769;5770;5771;5772;5778;5783;5787;5794,"Chandpur, Chittagong, Comilla, Cox's Bazar, Dhaka, Kishoreganj, Mymensingh, Tangail (Adm2)."
2000-0557-CHN,2000,0557,,Natural,Meteorological,Storm,Tropical cyclone,,Maria,China,CHN,Eastern Asia,Asia,"Hunan Sheng, Guangdong Sheng provinces",,Flood,,,,,,160,Kph,,,,,2000,9,1,2000,9,6,47,,46000,,46000,,,169000,67.35575898,1,903;912,,"Guangdong Sheng, Hunan Sheng (Adm1)."
